Date,Day,Torah,First Reading,Second Reading,Psalm,Gospel
2013-10-01,Tuesday,Genesis 1:14 - 1:19,Hosea 10:9-15,James 5:1-6 ,Psalm 62,
2013-10-02,Wednesday,Genesis 1:20 - 1:23,Hosea 12:2-14,Matthew 19:16-22,Psalm 62,
2013-10-03,Thursday,Genesis 1:24 - 1:31,"2 Kings 18:1-8, 28-36",Revelation 2:8-11,Psalm 37:1-9,
2013-10-04,Friday,Genesis 2:1 - 2:3,"2 Kings 19:8-20, 35-37",Revelation 2:12-29 ,Psalm 37:1-9,
2013-10-05,Saturday,Genesis 6:9 - 6:16,Isaiah 7:1-9 ,Matthew 20:29-34 ,Psalm 37:1-9,
2013-10-06,Sunday,Genesis 6:17 - 6:19,Lamentations 1:1-6,2 Timothy 1:1-14,Psalm 37:1-9,Luke 17:5-10 
2013-10-07,Monday,Genesis 6:20 - 6:22,Habakkuk 1:5-17 ,James 1:2-11,Psalm 3,
2013-10-08,Tuesday,Genesis 7:1 - 7:9,Habakkuk 2:5-11,"1 John 5:1-5, 13-21 ",Psalm 3,
2013-10-09,Wednesday,Genesis 7:10 - 7:16,Habakkuk 2:12-20,"Mark 11:12-14, 20-24 ",Psalm 3,
2013-10-10,Thursday,Genesis 7:17 - 7:24,Leviticus 14:33-53 ,2 Timothy 1:13-18,Psalm 111,
2013-10-11,Friday,Genesis 8:1 - 8:14,Numbers 4:34—5:4,2 Timothy 2:1-7,Psalm 111,
2013-10-12,Saturday,Genesis 12:1 - 12:3,Numbers 12:1-15,Luke 5:12-16,Psalm 111,
2013-10-13,Sunday,Genesis 12:4 - 12:9,"Jeremiah 29:1, 4-7",2 Timothy 2:8-15,Psalm 111,Luke 17:11-19 
2013-10-14,Monday,Genesis 12:10 - 12:13,2 Kings 5:15-19a,Acts 26:24-29,Psalm 61,
2013-10-15,Tuesday,Genesis 12:14 - 12:20,2 Kings 5:19b-27,Ephesians 6:10-20,Psalm 61,
2013-10-16,Wednesday,Genesis 13:1 - 13:4,2 Kings 15:1-7,Matthew 10:5-15 ,Psalm 61,
2013-10-17,Thursday,Genesis 13:5 - 13:11,Isaiah 54:11-17 ,Acts 17:22-34,Psalm 121,
2013-10-18,Friday,Genesis 13:12 - 13:18,Genesis 31:43—32:2,2 Timothy 2:14-26,Psalm 121,
2013-10-19,Saturday,Genesis 18:1 - 18:5,Genesis 32:3-21 ,Mark 10:46-52,Psalm 121,
2013-10-20,Sunday,Genesis 18:6 - 18:8,Jeremiah 31:27-34,2 Timothy 3:14—4:5 ,Psalm 121,Luke 18:1-8
2013-10-21,Monday,Genesis 18:9 - 18:14,1 Samuel 25:2-22,1 Corinthians 6:1-11,Psalm 57,
2013-10-22,Tuesday,Genesis 18:15 - 18:21,1 Samuel 25:23-35,James 5:7-12 ,Psalm 57,
2013-10-23,Wednesday,Genesis 18:22 - 18:26,1 Samuel 25:36-42 ,Luke 22:39-46,Psalm 57,
2013-10-24,Thursday,Genesis 18:27 - 18:30,Jeremiah 9:1-16 ,2 Timothy 3:1-9,Psalm 84:1-7,
